id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity
26,"The forest session was okay I don't feel much different, just a bit more aware Maybe I need more time to notice a difference",forest,10,7.5,3,3,night,overwhelmed,calm_face,clear,neutral,2
27,"I started scattered, but the cafe session helped me lock in on what matters. My to-do list feels less chaotic.",cafe,25,7.5,4,1,night,overwhelmed,neutral_face,clear,focused,4
28,The cafe ambience helped me breathe slower and let go of some pressure.,cafe,8,6.5,4,1,early_morning,neutral,none,clear,calm,3
29,The mountain background made it easier to organize my thoughts and work plan.,mountain,25,7.5,5,2,night,restless,happy_face,clear,focused,4
30,"I wasn't expecting much, but the rain session made me feel quiet inside My shoulders feel less tense",rain,25,6,4,2,early_morning,focused,neutral_face,clear,calm,2
31,"I wanted the ocean to calm me, but today my stress feels bigger than the session. I almost wanted to stop midway.",ocean,18,6,2,5,afternoon,mixed,none,conflicted,overwhelmed,5
32,"I wasn't expecting much, but the mountain session made me feel quiet inside. I think I can start gently today.",mountain,10,8,3,2,evening,neutral,calm_face,vague,calm,4
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,cafe,25,7,4,2,morning,calm,neutral_face,clear,focused,2
34,"The ocean session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",ocean,25,6,4,4,night,restless,neutral_face,clear,neutral,2
35,The rain ambience helped me stop drifting and concentrate on my next steps. I should use this window well.,rain,15,,4,1,early_morning,mixed,calm_face,vague,focused,3
36,"The forest session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",forest,12,6.5,4,3,afternoon,neutral,none,clear,neutral,2
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together. I can't tell if I need rest or momentum.,cafe,25,5,2,5,evening,focused,neutral_face,vague,mixed,4
38,"I wanted the mountain to calm me, but today my stress feels bigger than the session. I feel emotionally tired.",mountain,10,5,1,5,early_morning,,none,conflicted,overwhelmed,5
39,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,20,7,4,1,evening,focused,calm_face,clear,calm,2
40,"The rain track was fine. I feel steady, not especially better or worse.",rain,20,7.5,3,2,afternoon,overwhelmed,neutral_face,clear,neutral,1
41,"The rain ambience was pleasant, though I can't say it shifted my mood much. Maybe I need more time to notice a difference.",rain,8,7.5,3,2,morning,overwhelmed,calm_face,conflicted,neutral,2
42,"I feel both comforted and distracted after the mountain ambience There is relief, but also some lingering pressure",mountain,15,5.5,3,3,early_morning,restless,neutral_face,conflicted,mixed,4
43,The mountain ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,mountain,8,7,3,2,evening,calm,none,vague,focused,2
44,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",mountain,18,4.5,4,5,early_morning,calm,neutral_face,conflicted,restless,3
45,"The cafe sounds were nice, but I still feel unsettled and fidgety. I keep wanting to switch tasks.",cafe,10,5,3,4,evening,mixed,happy_face,clear,restless,4
46,"The mountain track helped a little, though something still feels off underneath. There is relief, but also some lingering pressure.",mountain,20,7,4,2,morning,neutral,none,clear,mixed,2
47,The cafe session slowed my thoughts and I feel more settled now. I think I can start gently today.,cafe,12,7,2,2,afternoon,focused,happy_face,clear,calm,4
48,"I noticed the ocean sounds, but emotionally I still feel mostly the same. Maybe I need more time to notice a difference.",ocean,18,7.5,3,3,morning,neutral,none,clear,neutral,1
49,"i feel lighter after the ocean sounds, like my mind finally softened i think i can start gently today",ocean,25,7.5,4,1,morning,mixed,none,clear,calm,4
50,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",cafe,15,5.5,4,5,evening,focused,tense_face,clear,restless,4
51,Nothing strong came up during the forest session; I feel fairly normal At least I paused for a moment,forest,3,6.5,3,2,early_morning,mixed,,clear,neutral,2
52,"I liked the ocean session, but my mood is still split between calm and tension. Part of me wants rest, part of me wants action.",ocean,12,6,3,3,evening,restless,calm_face,conflicted,mixed,4
53,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",ocean,10,7.5,4,2,morning,,neutral_face,conflicted,calm,4
54,The ocean session wasn't enough today; everything still feels heavy and too much.,ocean,25,4.5,2,4,night,focused,,vague,overwhelmed,5
55,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,15,6,4,2,afternoon,overwhelmed,happy_face,vague,calm,4
56,After the forest track I feel peaceful and less pulled in every direction.,forest,20,6.5,4,2,afternoon,neutral,calm_face,clear,calm,3
57,"I feel lighter after the rain sounds, like my mind finally softened.",rain,20,6,3,2,morning,neutral,none,clear,calm,3
58,"The forest sounds were nice, but I still feel unsettled and fidgety.",forest,12,6,3,3,early_morning,overwhelmed,tired_face,clear,restless,5
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7,3,3,afternoon,mixed,calm_face,clear,focused,3
60,"The mountain ambience was pleasant, though I can't say it shifted my mood much. I can continue the day as usual.",mountain,25,7,3,3,morning,restless,happy_face,clear,neutral,3
61,"Even with the ocean session, my mind kept jumping between tasks.",ocean,12,5,3,4,night,neutral,neutral_face,conflicted,restless,3
62,"After the rain sounds I feel better than before, but not completely okay.",rain,15,5.5,3,4,early_morning,neutral,none,conflicted,mixed,4
63,The mountain session wasn't enough today; everything still feels heavy and too much. Even small tasks feel big right now.,mountain,18,4.5,1,5,evening,restless,none,clear,overwhelmed,5
64,The ocean background made it easier to organize my thoughts and work plan. I can see my priorities more clearly.,ocean,20,,4,1,early_morning,focused,happy_face,conflicted,focused,2
65,"after the mountain sounds i feel better than before, but not completely okay. it's like two moods are sitting together.",mountain,20,4.5,3,4,afternoon,,neutral_face,vague,mixed,2
66,After the mountain track I feel peaceful and less pulled in every direction. My shoulders feel less tense.,mountain,12,8,2,2,early_morning,restless,neutral_face,clear,calm,4
67,"The cafe session helped a little, though I still feel pulled in too many directions.",cafe,20,5,4,5,morning,neutral,tense_face,clear,restless,4
68,The cafe background made it easier to organize my thoughts and work plan.,cafe,18,,3,3,early_morning,neutral,neutral_face,conflicted,focused,4
69,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I almost wanted to stop midway.",cafe,3,4.5,2,5,night,restless,tired_face,clear,overwhelmed,5
70,"I feel lighter after the forest sounds, like my mind finally softened My shoulders feel less tense",forest,10,7,3,2,afternoon,neutral,neutral_face,clear,calm,3
71,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I'm carrying too much in my head.",cafe,8,6,2,4,afternoon,neutral,tense_face,clear,overwhelmed,5
72,"i sat through the mountain ambience, but i still feel flooded by what i need to do.",mountain,18,3.5,3,5,night,neutral,tense_face,clear,overwhelmed,4
73,"I noticed the ocean sounds, but emotionally I still feel mostly the same At least I paused for a moment",ocean,12,5.5,2,3,morning,calm,neutral_face,clear,neutral,1
74,Nothing strong came up during the forest session; I feel fairly normal I can continue the day as usual,forest,12,7,3,4,night,restless,neutral_face,clear,neutral,1
75,I couldn't really settle into the rain track; I kept thinking of everything at once. I keep wanting to switch tasks.,rain,20,4.5,4,3,evening,overwhelmed,tense_face,vague,restless,4
76,"The cafe ambience was pleasant, though I can't say it shifted my mood much. At least I paused for a moment.",cafe,30,6.5,4,3,night,restless,neutral_face,conflicted,neutral,2
77,"After the forest sounds I feel better than before, but not completely okay. I can't tell if I need rest or momentum.",forest,18,4.5,2,2,evening,restless,calm_face,clear,mixed,3
78,"After the cafe sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",cafe,8,6.5,3,3,evening,calm,tense_face,clear,mixed,3
79,I feel both comforted and distracted after the mountain ambience. It's like two moods are sitting together.,mountain,12,6,4,2,morning,restless,neutral_face,vague,mixed,3
80,the cafe ambience helped me stop drifting and concentrate on my next steps. i should begin with the hardest task first.,cafe,25,5.5,5,2,night,mixed,none,conflicted,focused,3
81,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",mountain,12,,3,2,morning,focused,neutral_face,clear,calm,3
82,"I came in distracted, but I left the rain session with a sharper mind. I should begin with the hardest task first.",rain,25,6,5,2,evening,calm,neutral_face,clear,focused,4
83,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic.",ocean,15,7.5,3,2,afternoon,calm,neutral_face,clear,focused,4
84,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",ocean,35,8,3,3,early_morning,focused,calm_face,conflicted,calm,3
85,"Even after the forest track, I feel exhausted and emotionally overloaded.",forest,8,5.5,2,5,afternoon,neutral,tired_face,clear,overwhelmed,5
86,The forest session slowed my thoughts and I feel more settled now. My shoulders feel less tense.,forest,10,6.5,4,3,evening,calm,,clear,calm,2
87,"The forest session made me calmer, but part of me still feels uneasy There is relief, but also some lingering pressure",forest,8,4.5,4,4,night,focused,tense_face,clear,mixed,3
88,"I noticed the rain sounds, but emotionally I still feel mostly the same. Nothing really clicked yet. Maybe later I'll understand it more.",rain,20,6,3,3,evening,calm,neutral_face,vague,neutral,1
89,"Even with the mountain session, my mind kept jumping between tasks.",mountain,15,6.5,3,4,morning,calm,tense_face,clear,restless,4
90,I couldn't really settle into the cafe track; I kept thinking of everything at once. Part of me wants to do everything at once.,cafe,8,6.5,2,5,early_morning,overwhelmed,neutral_face,conflicted,restless,4
91,"The cafe track was fine. I feel steady, not especially better or worse.",cafe,20,7,3,3,evening,neutral,neutral_face,clear,neutral,1
92,"The forest track was fine I feel steady, not especially better or worse At least I paused for a moment Maybe later I'll understand it more",forest,15,5.5,2,3,morning,overwhelmed,neutral_face,vague,neutral,1
93,"Even with the cafe session, my mind kept jumping between tasks. Part of me wants to do everything at once.",cafe,10,5,3,5,early_morning,restless,tired_face,conflicted,restless,4
94,"I tried to relax during the rain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",rain,20,6,3,4,early_morning,overwhelmed,none,conflicted,restless,4
95,"I noticed the rain sounds, but emotionally I still feel mostly the same. idk.",rain,30,6.5,3,3,night,overwhelmed,neutral_face,conflicted,neutral,2
96,I couldn't really settle into the forest track; I kept thinking of everything at once. I keep wanting to switch tasks.,forest,35,6,3,3,afternoon,restless,neutral_face,clear,restless,4
97,"The mountain session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time.",mountain,15,6,3,3,afternoon,neutral,neutral_face,clear,mixed,2
98,"The ocean session helped a little, though I still feel pulled in too many directions. I still feel a low buzz in my body.",ocean,20,4.5,2,5,afternoon,mixed,neutral_face,clear,restless,4
99,I feel mentally clear after the rain session and ready to tackle one thing at a time. I can see my priorities more clearly. I should use this window well.,rain,18,6,4,1,evening,overwhelmed,neutral_face,clear,focused,2
100,"The forest track helped a little, though something still feels off underneath.",forest,10,5.5,4,2,evening,calm,neutral_face,clear,mixed,2
101,"After the forest sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",forest,15,7,2,2,afternoon,restless,,clear,mixed,4
102,"I feel lighter after the forest sounds, like my mind finally softened. The pace of my breathing changed.",forest,12,7,3,1,afternoon,neutral,,clear,calm,2
103,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I still feel a low buzz in my body. idk.",mountain,12,6,3,3,night,restless,tense_face,conflicted,restless,3
104,After the rain track I feel peaceful and less pulled in every direction. I think I can start gently today.,rain,15,8,3,2,early_morning,calm,neutral_face,conflicted,calm,3
105,The rain session wasn't enough today; everything still feels heavy and too much. I feel emotionally tired. I almost wanted to stop midway.,rain,15,5.5,2,5,night,calm,none,conflicted,overwhelmed,4
106,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",cafe,35,5.5,3,3,morning,,tense_face,vague,restless,5
107,The ocean ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,ocean,12,7,4,2,early_morning,restless,calm_face,vague,focused,3
108,"I liked the cafe session, but my mood is still split between calm and tension. There is relief, but also some lingering presure. I can't tell if I need rest or momentum.",cafe,18,7,3,4,night,calm,neutral_face,vague,mixed,4
109,"I wasn't expecting much, but the forest session made me feel quiet inside.",forest,25,7.5,3,3,morning,focused,happy_face,clear,calm,3
110,"I came in distracted, but I left the cafe session with a sharper mind.",cafe,15,7,3,2,evening,calm,happy_face,vague,focused,3
111,"After the forest sounds I feel better than before, but not completely okay.",forest,25,5,2,3,early_morning,neutral,calm_face,clear,mixed,2
112,After the rain track I feel peaceful and less pulled in every direction. The pace of my breathing changed.,rain,10,6.5,4,1,morning,calm,calm_face,clear,calm,3
113,"I wanted the mountain to calm me, but today my stress feels bigger than the session I'm carrying too much in my head",mountain,20,4.5,1,4,early_morning,,tired_face,conflicted,overwhelmed,4
114,"I feel lighter after the mountain sounds, like my mind finally softened. My shoulders feel less tense.",mountain,25,6,4,3,night,overwhelmed,calm_face,clear,calm,4
115,"Even after the rain track, I feel exhausted and emotionally overloaded. I almost wanted to stop midway.",rain,15,4.5,2,4,morning,focused,tired_face,clear,overwhelmed,4
116,Nothing strong came up during the rain session; I feel fairly normal. I can continue the day as usual.,rain,20,7.5,3,3,afternoon,neutral,none,clear,neutral,2
117,"The mountain session gave me a pause, but the pressure is still sitting hard on me.",mountain,10,4,2,5,afternoon,calm,tense_face,vague,overwhelmed,5
118,"Even after the cafe track, I feel exhausted and emotionally overloaded. It's hard to know where to begin.",cafe,15,5.5,3,4,morning,mixed,none,clear,overwhelmed,4
119,"The mountain session helped a little, though I still feel pulled in too many directions idk.",mountain,12,6.5,3,5,afternoon,focused,none,clear,restless,4
120,after the mountain track i feel peaceful and less pulled in every direction.,mountain,25,8,3,3,evening,overwhelmed,calm_face,clear,calm,3
121,"After a few minutes some moments felt peaceful, others not so I sat with that feeling.",forest,18,4,5,4,morning,calm,,clear,mixed,5
122,At one point it felt like a normal moment even if only briefly.,forest,25,4,2,4,evening,restless,tense_face,clear,neutral,1
123,For some reason teh pressure didn't really go away for a moment.,forest,8,7,1,5,evening,mixed,tense_face,conflicted,overwhelmed,2
124,After a few minutes I felt a little calmer but still distracted and I wasn't expecting that.,forest,15,6,4,3,afternoon,restless,none,vague,mixed,1
125,At one point it felt like a normal moment but it didn't last long.,ocean,20,8,2,3,morning,focused,tense_face,vague,neutral,3
126,Gradually things felt more peaceful so I sat with that feeling.,ocean,15,5,3,2,afternoon,mixed,tense_face,conflicted,calm,5
127,I noticed teh pressure didn't really go away so I sat with that feeling.,cafe,25,4,1,2,afternoon,mixed,calm_face,vague,overwhelmed,4
128,At one point teh session passed quietly even if only briefly.,mountain,20,8,3,3,morning,restless,tired_face,clear,neutral,3
129,At one point nothing really changed and I wasn't expecting that.,ocean,12,5,5,5,morning,neutral,calm_face,clear,neutral,3
130,After a few minutes I couldn't sit still mentally for a moment.,ocean,8,8,2,2,night,neutral,happy_face,conflicted,restless,4
131,By the end I could finally concentrate and I tried to notice it.,cafe,18,7,1,2,afternoon,calm,happy_face,conflicted,focused,2
132,After a few minutes nothing really changed which surprised me.,ocean,8,8,2,3,night,focused,none,conflicted,neutral,5
133,honestly i couldn't relax much so i sat with that feeling.,ocean,15,7,1,1,morning,overwhelmed,calm_face,clear,overwhelmed,2
134,honestly i started planning my day and i tried to notice it.,cafe,8,7,5,1,morning,mixed,calm_face,clear,focused,2
135,Honestly I organized my ideas better so I sat with that feeling.,mountain,8,7,3,4,evening,overwhelmed,none,conflicted,focused,4
136,During the session I started planning my day which surprised me.,ocean,8,4,5,4,afternoon,calm,calm_face,clear,focused,1
137,By the end I didn't notice strong emotions and I just observed it.,forest,8,8,1,4,evening,restless,none,vague,neutral,2
138,Strangely I kept thinking about other tasks before moving on. ...,mountain,15,8,5,1,morning,neutral,tense_face,clear,restless,3
139,For some reason things felt more peaceful but it didn't last long.,ocean,25,8,1,5,evening,mixed,neutral_face,vague,calm,1
140,Strangely things felt more peaceful and I wasn't expecting that.,cafe,20,6,5,4,evening,calm,,vague,calm,3
141,for some reason my thoughts felt lighter and i wasn't expecting that.,forest,18,4,1,1,afternoon,neutral,,vague,calm,5
142,I noticed it felt like a normal moment which surprised me.,ocean,25,4,3,2,afternoon,mixed,happy_face,vague,neutral,5
143,By teh end I felt a little calmer but still distracted but it didn't last long.,ocean,12,7,2,3,afternoon,mixed,calm_face,vague,mixed,2
144,For some reason I could finally concentrate so I sat with that feeling.,mountain,12,4,3,3,night,mixed,happy_face,vague,focused,1
145,strangely the tension eased a bit and i wasn't expecting that.,rain,25,6,4,5,morning,overwhelmed,neutral_face,vague,calm,1
146,After a few minutes my mood shifted back and forth even if only briefly.,mountain,10,6,4,1,evening,neutral,calm_face,conflicted,mixed,3
147,I noticed the session passed quietly and I tried to notice it.,rain,20,7,2,5,evening,overwhelmed,calm_face,vague,neutral,3
148,Gradually my attention improved though I'm not sure why.,mountain,15,5,1,3,evening,calm,neutral_face,conflicted,focused,3
149,Strangely my thoughts became clearer which surprised me.,ocean,8,7,4,5,afternoon,mixed,tired_face,vague,focused,2
150,at first i organized my ideas better so i sat with that feeling.,forest,8,8,2,1,night,focused,none,conflicted,focused,5
151,Honestly things felt ordinary even if only briefly.,rain,10,7,4,3,afternoon,mixed,happy_face,vague,neutral,2
152,At first I kept thinking about other tasks so I sat with that feeling.,mountain,10,5,2,4,afternoon,mixed,tired_face,vague,restless,3
153,I noticed nothing really changed so I sat with that feeling.,mountain,20,4,5,4,night,calm,tense_face,vague,neutral,4
154,Gradually it felt like a normal moment before moving on. ...,cafe,12,7,2,4,afternoon,neutral,tired_face,conflicted,neutral,5
155,At first it helped slightly but not completely but it didn't last long.,forest,12,5,4,3,evening,overwhelmed,tired_face,vague,mixed,1
156,At one point everything still felt heavy though I'm not sure why.,forest,8,4,2,2,morning,neutral,neutral_face,vague,overwhelmed,1
157,honestly the session passed quietly though i'm not sure why.,ocean,8,5,3,1,morning,restless,tired_face,vague,neutral,2
158,By the end my breathing slowed down and I wasn't expecting that.,cafe,18,4,3,5,night,mixed,happy_face,conflicted,calm,3
159,Honestly my breathing slowed down and I tried to notice it.,mountain,20,5,4,2,evening,neutral,happy_face,vague,calm,4
160,During teh session teh pressure didn't really go away so I sat with that feeling.,cafe,10,7,5,5,night,restless,,vague,overwhelmed,2
161,For some reason the pressure didn't really go away though I'm not sure why.,ocean,18,4,5,2,morning,focused,tired_face,conflicted,overwhelmed,2
162,honestly it helped slightly but not completely which surprised me.,mountain,12,8,3,4,evening,overwhelmed,happy_face,vague,mixed,3
163,"During the session some moments felt peaceful, others not and I wasn't expecting that.",mountain,20,8,2,2,afternoon,mixed,none,conflicted,mixed,5
164,At first it felt like a normal moment and I wasn't expecting that. ...,rain,18,5,3,1,morning,neutral,neutral_face,conflicted,neutral,4
165,Gradually things felt more peaceful before moving on.,forest,12,7,1,1,night,overwhelmed,,conflicted,calm,1
166,Gradually I could finally concentrate and I just observed it.,ocean,18,8,5,2,night,overwhelmed,tense_face,conflicted,focused,4
167,Gradually my mind kept wandering for a moment.,cafe,20,5,3,1,afternoon,focused,calm_face,clear,restless,1
168,gradually i couldn't relax much and i wasn't expecting that.,mountain,25,7,1,2,evening,mixed,neutral_face,vague,overwhelmed,1
169,strangely the session passed quietly but it didn't last long.,ocean,20,8,3,4,morning,overwhelmed,none,vague,neutral,3
170,Honestly I didn't notice strong emotions and I just observed it.,cafe,18,6,1,1,afternoon,mixed,happy_face,conflicted,neutral,1
171,Gradually part of me relaxed while another part stayed busy but it didn't last long.,rain,10,8,4,4,morning,overwhelmed,tense_face,vague,mixed,1
172,I noticed I organized my ideas better and I wasn't expecting that.,rain,8,7,1,3,evening,restless,tired_face,conflicted,focused,1
173,honestly it helped slightly but not completely which surprised me.,cafe,20,7,1,2,evening,neutral,tense_face,vague,mixed,4
174,Gradually my thoughts felt lighter but it didn't last long.,forest,10,4,4,1,afternoon,overwhelmed,tense_face,conflicted,calm,3
175,Honestly my mind felt crowded before moving on.,mountain,18,5,1,3,night,restless,happy_face,vague,overwhelmed,1
176,Gradually I felt distracted before moving on.,rain,12,8,5,4,night,restless,none,clear,restless,5
177,I noticed everything still felt heavy though I'm not sure why.,ocean,15,5,4,1,afternoon,neutral,tense_face,clear,overwhelmed,4
178,Honestly my breathing slowed down but it didn't last long.,cafe,15,6,3,5,night,mixed,,vague,calm,5
179,Honestly I felt mentally drained which surprised me.,rain,12,5,1,4,morning,mixed,calm_face,vague,overwhelmed,2
180,After a few minutes part of me relaxed while another part stayed busy though I'm not sure why.,rain,10,5,5,4,afternoon,focused,happy_face,vague,mixed,5
181,Honestly my mood shifted back and forth but it didn't last long.,ocean,20,4,4,3,afternoon,calm,tense_face,conflicted,mixed,3
182,during the session it helped slightly but not completely and i wasn't expecting that.,mountain,10,7,5,3,evening,mixed,none,vague,mixed,3
183,After a few minutes the tension eased a bit before moving on.,cafe,10,8,3,2,afternoon,neutral,none,conflicted,calm,2
184,"after a few minutes some moments felt peaceful, others not before moving on.",forest,12,6,4,2,afternoon,focused,tense_face,conflicted,mixed,5
185,During the session my thoughts were jumping around and I wasn't expecting that.,ocean,8,5,2,4,evening,calm,calm_face,vague,restless,5
186,For some reason things felt more peaceful for a moment.,mountain,20,5,4,1,evening,neutral,calm_face,conflicted,calm,4
187,i noticed part of me relaxed while anotehr part stayed busy but it didn't last long.,rain,8,4,2,5,afternoon,overwhelmed,none,conflicted,mixed,5
188,Strangely I couldn't relax much and I just observed it.,cafe,12,4,3,2,night,overwhelmed,tense_face,clear,overwhelmed,3
189,after a few minutes i didn't notice strong emotions and i wasn't expecting that.,rain,15,4,2,5,morning,calm,neutral_face,clear,neutral,5
190,At one point I started planning my day for a moment.,forest,10,8,1,3,afternoon,focused,neutral_face,clear,focused,1
191,For some reason I started planning my day for a moment. ...,forest,20,7,5,1,morning,overwhelmed,tense_face,conflicted,focused,5
192,at one point my thoughts felt lighter for a moment.,mountain,18,6,4,1,morning,overwhelmed,tired_face,conflicted,calm,1
193,At first everything still felt heavy though I'm not sure why.,mountain,20,8,5,3,night,neutral,tired_face,conflicted,overwhelmed,5
194,At first I felt mentally drained so I sat with that feeling.,forest,25,7,4,4,morning,restless,none,vague,overwhelmed,3
195,at first my thoughts became clearer and i just observed it.,mountain,25,5,5,1,evening,mixed,tense_face,conflicted,focused,4
196,During the session my mood shifted back and forth and I wasn't expecting that.,forest,20,7,2,1,evening,neutral,tense_face,conflicted,mixed,2
197,gradually i felt mentally drained even if only briefly.,cafe,12,4,2,3,evening,restless,neutral_face,clear,overwhelmed,5
198,at first i felt a little calmer but still distracted which surprised me.,mountain,15,6,2,3,evening,mixed,happy_face,conflicted,mixed,1
199,Strangely the tension eased a bit which surprised me.,ocean,15,8,4,4,evening,focused,calm_face,vague,calm,4
200,Gradually my mind became quiet even if only briefly.,rain,18,4,1,2,evening,focused,tense_face,vague,calm,3
201,honestly my mind became quiet but it didn't last long.,forest,18,6,1,4,morning,overwhelmed,,clear,calm,3
202,Gradually I didn't notice strong emotions and I tried to notice it.,mountain,10,8,4,3,morning,overwhelmed,neutral_face,vague,neutral,5
203,At first I couldn't relax much and I wasn't expecting that.,cafe,8,8,1,5,afternoon,restless,none,clear,overwhelmed,2
204,During the session my thoughts felt lighter but it didn't last long.,ocean,10,7,4,5,night,mixed,happy_face,conflicted,calm,5
205,Strangely my thoughts were jumping around and I just observed it.,rain,18,4,3,5,morning,restless,calm_face,clear,restless,3
206,At first I felt distracted for a moment.,forest,25,4,4,5,afternoon,restless,happy_face,clear,restless,1
207,For some reason everything still felt heavy even if only briefly.,forest,15,8,5,5,afternoon,restless,tense_face,vague,overwhelmed,4
208,After a few minutes I kept thinking about other tasks and I just observed it.,cafe,12,8,2,3,morning,neutral,tense_face,vague,restless,4
209,At first I could finally concentrate even if only briefly.,cafe,20,8,1,4,evening,calm,neutral_face,clear,focused,3
210,by the end my mind felt crowded but it didn't last long.,ocean,25,8,5,1,evening,neutral,tired_face,clear,overwhelmed,2
211,Strangely I organized my ideas better which surprised me.,cafe,15,8,3,4,afternoon,neutral,tired_face,clear,focused,3
